#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Nov 18 04:52:20 EST 2018,10,10,CommandObjectSuiteA11,ApproachCommandObjectTestCase+ FailCommandObjectTestCase+ PassCommandObjectTestCase+ , ,CommandListCommandObjectTestCase- RepeatCommandObjectTestCase- ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncArthurLancelotTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,
1,Sun Nov 18 05:00:25 EST 2018,17,7,CommandObjectSuiteA11,ApproachCommandObjectTestCase CommandListCommandObjectTestCase+ FailCommandObjectTestCase PassCommandObjectTestCase RepeatCommandObjectTestCase+ , , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncArthurLancelotTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,
2,Sun Nov 18 05:00:44 EST 2018,13,-4,CommandObjectSuiteA11,ApproachCommandObjectTestCase FailCommandObjectTestCase PassCommandObjectTestCase RepeatCommandObjectTestCase , ,CommandListCommandObjectTestCase- ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncArthurLancelotTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,
3,Sun Nov 18 05:01:19 EST 2018,17,4,CommandObjectSuiteA11,ApproachCommandObjectTestCase CommandListCommandObjectTestCase+ FailCommandObjectTestCase PassCommandObjectTestCase RepeatCommandObjectTestCase , , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncArthurLancelotTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,
4,Sun Nov 18 05:01:54 EST 2018,31,14,SyncAnimationSuite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase+ SyncGalahadAnimationTestCase+ SyncLancelotAnimationTestCase+ SyncRobinAnimationTestCase+ , ,SyncArthurLancelotTestCase+ ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,
5,Sun Nov 18 05:02:12 EST 2018,34,3,ParserSuite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserFactoryMethodTest+ PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase , ,ParserCreatesApproachCommandObjectTestCase+ ParserCreatesCommandListTestCase+ ParserCreatesFailCommandObjectTestCase+ ParserCreatesMoveCommandObjectTestCase+ ParserCreatesPassCommandObjectTestCase+ ParserCreatesRepeatCommandObjectTestCase+ ParserCreatesSayCommandObjectTestCase+ SyncArthurLancelotTestCase ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParsingAtomicCommandTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,
6,Sun Nov 18 05:02:41 EST 2018,34,0,CommandInterpreterSuiteA11,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase , ,ManyLevelListMovesTestCase+ ManyLevelRepeatManyLevelList+ ManyLevelRepeatTestCase+ OneLevelListMovesTestCase+ OneLevelRepeatOneLevelList+ OneLevelRepeatTestCase+ ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParsingAtomicCommandTestCase+ SyncArthurLancelotTestCase TwoLevelListMovesTestCase+ TwoLevelRepeatTestCase+ TwoLevelRepeatTwoLevelList+ ,OneLevelListWithPositiveNegativeMovesTestCase ,
7,Sun Nov 18 05:07:40 EST 2018,34,0,CommandObjectSuiteA11,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParsingAtomicCommandTestCase SyncArthurLancelotTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,OneLevelListWithPositiveNegativeMovesTestCase ,
8,Sun Nov 18 05:08:05 EST 2018,34,0,ParserSuite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParsingAtomicCommandTestCase SyncArthurLancelotTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,OneLevelListWithPositiveNegativeMovesTestCase ,
9,Sun Nov 18 05:10:18 EST 2018,34,0,ParserSuite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParsingAtomicCommandTestCase SyncArthurLancelotTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList ,OneLevelListWithPositiveNegativeMovesTestCase ,
