#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Aug 31 22:14:46 EDT 2018,75,75,Assignment2Suite,MixedOutputTest+ MultipleNumberOutputTest+ MultipleQuoteOutputTest+ MultipleWordOutputTest+ ScannerBeanOutputTest+ ScannerBeanPropertyTest+ , ,MissingQuoteOutputTest- MultipleSignOutputTest- , ,
1,Fri Aug 31 22:34:40 EDT 2018,50,-25,Assignment2Suite,MultipleNumberOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MixedOutputTest- MultipleQuoteOutputTest- MultipleSignOutputTest , ,
2,Fri Aug 31 22:34:57 EDT 2018,50,0,MultipleQuoteOutputTest,MultipleNumberOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MixedOutputTest MultipleQuoteOutputTest MultipleSignOutputTest , ,
3,Fri Aug 31 22:34:59 EDT 2018,50,0,MultipleQuoteOutputTest,MultipleNumberOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MixedOutputTest MultipleQuoteOutputTest MultipleSignOutputTest , ,
4,Fri Aug 31 22:38:34 EDT 2018,75,25,Assignment2Suite,MixedOutputTest+ MultipleNumberOutputTest MultipleQuoteOutputTest+ MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
5,Fri Aug 31 22:48:04 EDT 2018,75,0,Assignment2Suite,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
6,Fri Aug 31 22:48:08 EDT 2018,75,0,MissingQuoteOutputTest,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
7,Fri Aug 31 22:48:10 EDT 2018,75,0,MissingQuoteOutputTest,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
8,Fri Aug 31 22:48:13 EDT 2018,75,0,MissingQuoteOutputTest,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
9,Fri Aug 31 22:48:14 EDT 2018,75,0,MissingQuoteOutputTest,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
10,Fri Aug 31 22:55:22 EDT 2018,75,0,Assignment2Suite,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
11,Fri Aug 31 22:55:42 EDT 2018,75,0,MultipleSignOutputTest,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
12,Fri Aug 31 22:57:02 EDT 2018,75,0,MissingQuoteOutputTest,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
13,Fri Aug 31 23:31:00 EDT 2018,87,12,Assignment2Suite,MissingQuoteOutputTest+ MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MultipleSignOutputTest , ,
14,Fri Aug 31 23:56:06 EDT 2018,87,0,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MultipleSignOutputTest , ,
15,Fri Aug 31 23:57:59 EDT 2018,100,13,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleSignOutputTest+ MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , , , ,
