#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Oct 03 21:00:31 EDT 2018,0,0,BridgeSceneDynamicTestCase, ,BridgeSceneDynamicTestCase+ , ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase NumberHistoryTest OccupiedReturnedTestCase PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest ,
1,Wed Oct 03 21:00:32 EDT 2018,0,0,BridgeSceneDynamicTestCase, ,BridgeSceneDynamicTestCase , ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase NumberHistoryTest OccupiedReturnedTestCase PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest ,
2,Wed Oct 03 21:00:35 EDT 2018,0,0,TokenHistorySuite, ,BridgeSceneDynamicTestCase ,ApproachHistoryTest+ FailHistoryTest+ NumberHistoryTest+ PassHistoryTest+ QuoteHistoryTest+ RepeatHistoryTest+ SayHistoryTest+ WordHistoryTest+ ,BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,
3,Wed Oct 03 21:00:44 EDT 2018,0,0,BridgeSceneComponentScrollSuite, ,BridgeSceneDynamicTestCase ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase+ BridgeSceneArthurScrollRightLegTestCase+ BridgeSceneGalahadScrollLeftArmTestCase+ BridgeSceneLancelotScrollLeftArmTestCase+ BridgeSceneRobinScrollLeftArmTestCase+ FailHistoryTest NumberHistoryTest PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest ,GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,
4,Wed Oct 03 21:00:49 EDT 2018,26,26,InitialBridgeSceneSuite,GorgeReturnedTestCase+ GuardAreaReturnedTestCase+ KnightAreaReturnedTestCase+ KnightTurnReturnedTestCase+ OccupiedReturnedTestCase+ ,BridgeSceneDynamicTestCase ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest NumberHistoryTest PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest , ,
5,Wed Oct 03 21:02:12 EDT 2018,26,0,BridgeSceneDynamicTestCase,GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,BridgeSceneDynamicTestCase ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest NumberHistoryTest PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest , ,
6,Wed Oct 03 21:02:25 EDT 2018,26,0,TokenHistorySuite,GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,BridgeSceneDynamicTestCase ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest NumberHistoryTest PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest , ,
7,Wed Oct 03 21:02:28 EDT 2018,26,0,BridgeSceneComponentScrollSuite,GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,BridgeSceneDynamicTestCase ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest NumberHistoryTest PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest , ,
8,Wed Oct 03 21:02:57 EDT 2018,26,0,InitialBridgeSceneSuite,GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,BridgeSceneDynamicTestCase ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest NumberHistoryTest PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest , ,
9,Wed Oct 03 21:03:26 EDT 2018,26,0,BridgeSceneDynamicTestCase,GorgeReturnedTestCase GuardAreaReturnedTestCase KnightAreaReturnedTestCase KnightTurnReturnedTestCase OccupiedReturnedTestCase ,BridgeSceneDynamicTestCase ,ApproachHistoryTest BridgeSceneArthurScrollLeftArmTestCase BridgeSceneArthurScrollRightLegTestCase BridgeSceneGalahadScrollLeftArmTestCase BridgeSceneLancelotScrollLeftArmTestCase BridgeSceneRobinScrollLeftArmTestCase FailHistoryTest NumberHistoryTest PassHistoryTest QuoteHistoryTest RepeatHistoryTest SayHistoryTest WordHistoryTest , ,
