#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Aug 27 16:06:06 EDT 2018,0,0,Assignment1Suite, , ,HasNextSideEffectTest- IndexOfNotNonSpaceAtEnd- IndexOfNotNonSpaceFirst- IndexOfNotNonSpaceStartAt- IndexOfNotSpaceAllSpace- IndexOfNotSpaceFirst- IndexOfNotSpaceSecond- IndexOfNotTest- IndexOfTest- IndexOfTestCharacterNotFound- IndexOfTestFirstSpace- IndexOfTestNonSpaceAtEnd- IndexOfTestNonSpaceStartAt- IndexOfTestSecondSpace- IndexOfTestSpaceSameIndex- InvalidCharacterOutputTest- InvalidCharacterProductTest- InvalidCharacterSumTest- MultipleTokenProductTest- MultipleTokenSumTest- MultipleTokensOutputTest- ScanStringTest- ScanningIteratorTest- SingleTokenOutputTest- SingleTokenProductTest- SingleTokenSumTest- TerminatesWithPeriodLineOutputTest- TerminatesWithPeriodLineProductTest- TerminatesWithPeriodLineSumTest- TerminatesWithStartingPeriodOutputTest- TerminatesWithStartingPeriodProductTest- TerminatesWithStartingPeriodSumTest- VariableSpaceOutputTest- VariableSpaceProductTest- VariableSpaceSumTest- , ,
1,Mon Aug 27 16:10:03 EDT 2018,0,0,Assignment1Suite, , ,HasNextSideEffectTest IndexOfNotNonSpaceAtEnd IndexOfNotNonSpaceFirst IndexOfNotNonSpaceStartAt IndexOfNotSpaceAllSpace IndexOfNotSpaceFirst IndexOfNotSpaceSecond IndexOfNotTest IndexOfTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestNonSpaceStartAt IndexOfTestSecondSpace IndexOfTestSpaceSameIndex InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest ScanningIteratorTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
2,Mon Aug 27 16:13:58 EDT 2018,65,65,Assignment1Suite,IndexOfNotNonSpaceAtEnd+ IndexOfNotNonSpaceFirst+ IndexOfNotNonSpaceStartAt+ IndexOfNotSpaceAllSpace+ IndexOfNotSpaceFirst+ IndexOfNotSpaceSecond+ IndexOfNotTest+ MultipleTokenProductTest+ MultipleTokenSumTest+ MultipleTokensOutputTest+ ScanStringTest+ SingleTokenOutputTest+ SingleTokenProductTest+ SingleTokenSumTest+ TerminatesWithPeriodLineOutputTest+ TerminatesWithPeriodLineProductTest+ TerminatesWithPeriodLineSumTest+ TerminatesWithStartingPeriodOutputTest+ TerminatesWithStartingPeriodProductTest+ TerminatesWithStartingPeriodSumTest+ VariableSpaceOutputTest+ VariableSpaceProductTest+ VariableSpaceSumTest+ ,IndexOfTest+ IndexOfTestNonSpaceStartAt+ IndexOfTestSpaceSameIndex+ ,HasNextSideEffectTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestSecondSpace InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest , ,
3,Mon Aug 27 16:16:32 EDT 2018,85,20,Assignment1Suite,IndexOfNotNonSpaceAtEnd IndexOfNotNonSpaceFirst IndexOfNotNonSpaceStartAt IndexOfNotSpaceAllSpace IndexOfNotSpaceFirst IndexOfNotSpaceSecond IndexOfNotTest IndexOfTest+ IndexOfTestCharacterNotFound+ IndexOfTestFirstSpace+ IndexOfTestNonSpaceAtEnd+ IndexOfTestNonSpaceStartAt+ IndexOfTestSecondSpace+ IndexOfTestSpaceSameIndex+ MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,HasNextSideEffectTest InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest , ,
4,Mon Aug 27 16:17:11 EDT 2018,85,0,Assignment1Suite,IndexOfNotNonSpaceAtEnd IndexOfNotNonSpaceFirst IndexOfNotNonSpaceStartAt IndexOfNotSpaceAllSpace IndexOfNotSpaceFirst IndexOfNotSpaceSecond IndexOfNotTest IndexOfTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestNonSpaceStartAt IndexOfTestSecondSpace IndexOfTestSpaceSameIndex MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,HasNextSideEffectTest InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest , ,
5,Mon Aug 27 23:43:33 EDT 2018,94,9,Assignment1Suite,IndexOfNotNonSpaceAtEnd IndexOfNotNonSpaceFirst IndexOfNotNonSpaceStartAt IndexOfNotSpaceAllSpace IndexOfNotSpaceFirst IndexOfNotSpaceSecond IndexOfNotTest IndexOfTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestNonSpaceStartAt IndexOfTestSecondSpace IndexOfTestSpaceSameIndex InvalidCharacterOutputTest+ InvalidCharacterProductTest+ InvalidCharacterSumTest+ MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,HasNextSideEffectTest ScanningIteratorTest , ,
6,Mon Aug 27 23:52:18 EDT 2018,94,0,Assignment1Suite,IndexOfNotNonSpaceAtEnd IndexOfNotNonSpaceFirst IndexOfNotNonSpaceStartAt IndexOfNotSpaceAllSpace IndexOfNotSpaceFirst IndexOfNotSpaceSecond IndexOfNotTest IndexOfTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestNonSpaceStartAt IndexOfTestSecondSpace IndexOfTestSpaceSameIndex InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest ,HasNextSideEffectTest+ ScanningIteratorTest+ , , ,
7,Tue Aug 28 15:07:02 EDT 2018,0,-94,Assignment1Suite, , ,HasNextSideEffectTest- IndexOfNotNonSpaceAtEnd- IndexOfNotNonSpaceFirst- IndexOfNotNonSpaceStartAt- IndexOfNotSpaceAllSpace- IndexOfNotSpaceFirst- IndexOfNotSpaceSecond- IndexOfNotTest- IndexOfTest- IndexOfTestCharacterNotFound- IndexOfTestFirstSpace- IndexOfTestNonSpaceAtEnd- IndexOfTestNonSpaceStartAt- IndexOfTestSecondSpace- IndexOfTestSpaceSameIndex- InvalidCharacterOutputTest- InvalidCharacterProductTest- InvalidCharacterSumTest- MultipleTokenProductTest- MultipleTokenSumTest- MultipleTokensOutputTest- ScanStringTest- ScanningIteratorTest- SingleTokenOutputTest- SingleTokenProductTest- SingleTokenSumTest- TerminatesWithPeriodLineOutputTest- TerminatesWithPeriodLineProductTest- TerminatesWithPeriodLineSumTest- TerminatesWithStartingPeriodOutputTest- TerminatesWithStartingPeriodProductTest- TerminatesWithStartingPeriodSumTest- VariableSpaceOutputTest- VariableSpaceProductTest- VariableSpaceSumTest- , ,
8,Tue Aug 28 15:08:23 EDT 2018,94,94,Assignment1Suite,IndexOfNotNonSpaceAtEnd+ IndexOfNotNonSpaceFirst+ IndexOfNotNonSpaceStartAt+ IndexOfNotSpaceAllSpace+ IndexOfNotSpaceFirst+ IndexOfNotSpaceSecond+ IndexOfNotTest+ IndexOfTest+ IndexOfTestCharacterNotFound+ IndexOfTestFirstSpace+ IndexOfTestNonSpaceAtEnd+ IndexOfTestNonSpaceStartAt+ IndexOfTestSecondSpace+ IndexOfTestSpaceSameIndex+ InvalidCharacterOutputTest+ InvalidCharacterProductTest+ InvalidCharacterSumTest+ MultipleTokenProductTest+ MultipleTokenSumTest+ MultipleTokensOutputTest+ ScanStringTest+ SingleTokenOutputTest+ SingleTokenProductTest+ SingleTokenSumTest+ TerminatesWithPeriodLineOutputTest+ TerminatesWithPeriodLineProductTest+ TerminatesWithPeriodLineSumTest+ TerminatesWithStartingPeriodOutputTest+ TerminatesWithStartingPeriodProductTest+ TerminatesWithStartingPeriodSumTest+ VariableSpaceOutputTest+ VariableSpaceProductTest+ VariableSpaceSumTest+ , ,HasNextSideEffectTest ScanningIteratorTest , ,
9,Tue Aug 28 15:11:50 EDT 2018,94,0,IndexOfTestSuite,IndexOfNotNonSpaceAtEnd IndexOfNotNonSpaceFirst IndexOfNotNonSpaceStartAt IndexOfNotSpaceAllSpace IndexOfNotSpaceFirst IndexOfNotSpaceSecond IndexOfNotTest IndexOfTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestNonSpaceStartAt IndexOfTestSecondSpace IndexOfTestSpaceSameIndex InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,HasNextSideEffectTest ScanningIteratorTest , ,
